Tweets,Subjectivity,Polarity,Analysis
"16/16) We trust you've been blessed by this article. We invite you to make Jesus Christ the Lord of your life TODAY by following the steps in the attached image👇:

Rhapsotweets ",0.1,0.0,Neutral
"15/16) FURTHER STUDY:
Ephesians 6:16-18; 2 Corinthians 10:3-5

DAILY SCRIPTURE READING
1 Year Bible Reading Plan:
Mark 16:1-20 &amp; Deuteronomy 1-2

2 Year Bible Reading Plan:
Matthew 22:34-46 &amp; Exodus 23

Rhapsotweets",0.25,0.0,Neutral
"14/16) I declare that satan’s influence on leaders and rulers of nations of the world is broken! Your light shines brightly in their hearts today, in Jesus’ Name. Amen. Rhapsotweets",0.6333333333333333,0.20000000000000004,Positive
"13/16) PRAYER 
Dear Lord, I thank you for endowing us with your might to pull down fortresses, ideas planted in the minds of men, and theories they’ve accepted in life that have kept them from moving in the direction of your dream and destiny for them. … Rhapsotweets",0.2888888888888889,-0.15555555555555559,Negative
12/16) This is what we must do for leaders of nations to be influenced by God’s wisdom and righteousness; we must pray for them in line with God’s Word. Rhapsotweets,0.0,0.0,Neutral
"11/16) With authoritative words, rebuke the forces of darkness to desist from influencing them, and affirm that their hearts are turned to the Lord to do His will. Rhapsotweets",0.9,0.3,Positive
"10/16) So, as a Christian, recognize the enormity of the responsibility on you, to intercede for leaders of nations. Every so often, pray fervently in the spirit for the leaders in your country. Rhapsotweets",0.0,0.0,Neutral
"9/16) When we speak words in prayer, angels of God and the Spirit of God take those words and weaponize them. That’s what makes them mighty to the pulling down of fortresses. Rhapsotweets",0.5944444444444444,0.12222222222222222,Positive
"8/16) The word “warfare” is “strateia” (Greek) and it’s telling us that we’re in the strategizing office, leading a military expedition in the Spirit. Rhapsotweets",0.05,-0.05,Negative
"7/16) Then, 2 Corinthians 10:4 says, “For the weapons of our warfare are not carnal, but mighty through God to the pulling down of strong holds"". Rhapsotweets",0.6407407407407407,0.2259259259259259,Positive
"6/16) The Bible says, “I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men; For kings, and for all that are in authority…” (1 Timothy 2:1-2). Rhapsotweets",0.26666666666666666,0.225,Positive
"5/16) When such leaders make wicked decisions and enforce repressive policies, it’s because they’re being influenced by evil forces. That’s why we pray for leaders, so that instead of being influenced by the forces of darkness, they’d be influenced by the Spirit of God.",0.75,-0.5,Negative
"4/16) Remember, Jesus said to the Jews who came to arrest Him, “Ye are of your father the devil, &amp; the lusts of your father ye will do...” (John 8:44). This is why we oftentimes find leaders and rulers of nations that are influenced &amp; controlled by the principalities of darkness.",0.0,-0.05,Negative
"3/16) Until you’re born again and transferred into the Kingdom of God’s dear Son, you remain under the power of darkness, and satan becomes the god of all that concerns you. Rhapsotweets",0.0,0.0,Neutral
"2/16) From the scripture above, we see that there’re only two groups of people: those under the power of darkness and those in the Kingdom of God’s dear Son. Rhapsotweets",0.55,0.0,Neutral
"RHAPSODY OF REALITIES
Sunday, 14th March, 2021


OUR WEAPONS OF WORDS
— Pastor Chris Oyakhilome
Rhapsotweets

A Thread … (1/16) ",0.0,0.0,Neutral
"14/14) We trust you've been blessed by this article. We invite you to make Jesus Christ the Lord of your life TODAY by following the steps in the attached image👇:

Rhapsotweets ",0.1,0.0,Neutral
"13/14)
FURTHER STUDY:
Ephesians 1:19-22; Colossians 2:10

DAILY SCRIPTURE READING
1 Year Bible Reading Plan:
Mark 15:21-47 &amp; Numbers 34-36

2 Year Bible Reading Plan:
Matthew 22:23-33 &amp; Exodus 22

Rhapsotweets",0.25,0.0,Neutral
"12/14) CONFESSION
I have a joint-sitting with Christ in the place of glory &amp; power. As long as I’m in the world, I’m the light of the world! I exercise dominion over circumstances &amp; the spirits of darkness, &amp; I bring them under subjection to the Name of Jesus! Amen. Rhapsotweets",0.55,0.2875,Positive
"11/14) In the same way, until we’re taken out of here by the Rapture, darkness can’t prevail, because we have a joint-sitting with Christ in the place of power and dominion. And we exercise that power and dominion now! Rhapsotweets",0.125,0.0,Neutral
"10/14) We—the Church—are the ones restraining evil in the world. Jesus said, “As long as I am in the world, I am the light of the world” (John 9:5). Rhapsotweets",0.6999999999999998,-0.21666666666666667,Negative
"9/14) This is why the Bible says, “For the mystery of lawlessness (that hidden principle of rebellion against constituted authority) is already at work in the world, [but it is] restrained only until he who restrains is taken out of the way” (2 Thess. 2:7 AMPC). Rhapsotweets",0.6666666666666666,-0.08333333333333333,Negative
"8/14) The Bible says, “The light shines in the darkness, and the darkness has not overcome it” (John 1:5 ESV). Hallelujah! Rhapsotweets",0.7,0.5,Positive
"7/14) We’re called to exercise dominion and to live as masters and victors in life through Jesus Christ. We reign over Satan, darkness, the world and all creation. Rhapsotweets",0.5,0.13636363636363635,Positive
"6/14) Yes, at the millennial period, we’re going to be reigning with Christ, according to the Bible. But today in the earth, we’re reigning through Him or by Him, because we’re using His Name; operating in His stead. Rhapsotweets",0.0,0.0,Neutral
"5/14) The word “reign” is “basileuō” (Greek) which means “to king.” And Revelation 5:10 perfectly corroborates this truth; it says, “And hast made us unto our God kings and priests: and we shall reign on the earth.” Rhapsotweets",0.5,0.5,Positive
"4/14) Now that we’ve been enthroned, what are we supposed to do? Romans 5:17 tells us: “For if by one man’s offence death reigned by one; much more they which receive abundance of grace and of the gift of righteousness shall reign in life by one, Jesus Christ.” Rhapsotweets",0.5,0.5,Positive
"3/14) Weymouth New Testament version renders it so beautifully; it says God “raised us with Him from the dead, and enthroned us with Him in the heavenly realms as being in Christ Jesus.” We’ve been enthroned! Blessed be God! Rhapsotweets",0.6181818181818182,0.2246212121212121,Positive
"2/14) The phrase “sit together” in the scripture above is “sugkathizo” (Greek), and it means to give (or take) a seat in company with; a joint-sitting. Think about that! What could be greater than having a joint-sitting with Christ! Rhapsotweets",0.19999999999999998,0.20833333333333334,Positive
"RHAPSODY OF REALITIES
Saturday, 13th March, 2021


WE’VE BEEN ENTHRONED
— Pastor Chris Oyakhilome
Rhapsotweets

A Thread … (1/14) ",0.0,0.0,Neutral
"12/12) We trust you've been blessed by this article. We invite you to make Jesus Christ the Lord of your life TODAY by following the steps in the attached image👇:

Rhapsotweets ",0.1,0.0,Neutral
"11/12)
FURTHER STUDY:
Romans 12:11 AMPC; Daniel 12:3; 2 Timothy 3:1

DAILY SCRIPTURE READING
1 Year Bible Reading Plan:
Mark 15:1-20 &amp; Numbers 32-33
 
2 Year Bible Reading Plan:
Matthew 22:15-22 &amp; Exodus 21

Rhapsotweets",0.25,0.0,Neutral
"10/12) … I’ve been endowed with the ability and grace to lead many to Christ, unveiling to them the mysteries of the Kingdom, in Jesus’ Name. Amen Rhapsotweets",0.5,0.5,Positive
"9/12) CONFESSION
The Gospel of Christ burns in my heart, like fire shut up in my bones! Thank you, dear Father, for the honour of being a custodian of this life-changing message, the message of power by which you save, heal, protect, deliver, preserve and prosper. …Rhapsotweets",0.0,0.0,Neutral
"8/12) Before the Rapture, we’ve got to dominate this world like never before! Jesus isn’t planning to “snatch” us out of this world as though we’ve been victims. Remember that He overcame the world. He’s coming for a victorious Church; a triumphant Church. Glory to God!",0.0,0.0,Neutral
"7/12) It begins with you giving more attention to prayer, especially praying for the impact of the Gospel around the world in these last days.

This is very important; the stakes are very high. It’s not just about you; it’s about the future of our world. Rhapsotweets",0.5656111111111111,0.20466666666666666,Positive
6/12) Imagine the kind of evil and destruction that’ll be perpetrated by the antichrist for only three and a half years that warrants a divine shortening. That also tells us something: We can do a lot of good within a short time; we can shake up this world. Rhapsotweets,0.6611111111111111,0.022222222222222216,Positive
"5/12) Jesus said, “And except those days should be shortened, there should no flesh be saved…” (Matthew 24:22). Rhapsotweets",0.0,0.0,Neutral
"4/12) As the Scriptures tell us, the antichrist is only going to be given three &amp; a half years for the Great Tribulation. It’s going to be a period of intense trouble, worse than the world has ever experienced and will ever experience (Matt 24:21); &amp; it’ll be world-wide in scope.",0.6595238095238096,0.14761904761904768,Positive
"3/12) Our theme verse says, “Not slothful in business; fervent in spirit; serving the Lord.” You’ve got to work with the mentality that His appearing could be any minute, and become very passionate in your spirit for the Gospel—ensuring its spread and impact around the world.",1.0,-0.065,Negative
"2/12) Clearly, we see from the Scriptures that we’re in the final days before the rapture of the Church. This isn’t the time to loaf around; there’s a lot the Lord wants to do through you with the short time left. Rhapsotweets",0.3566666666666667,0.06000000000000001,Positive
"RHAPSODY OF REALITIES
Friday, 12th March, 2021


THE STAKES ARE HIGH
— Pastor Chris Oyakhilome
Rhapsotweets

A Thread … (1/12) ",0.5399999999999999,0.16,Positive
"15/15) We trust you've been blessed by this article. We invite you to make Jesus Christ the Lord of your life TODAY by following the steps in the attached image👇:

Rhapsotweets",0.1,0.0,Neutral
"14/15) FURTHER STUDY:
Matthew 7:24-27; Romans 12:11-12; Colossians 3:1-3

DAILY SCRIPTURE READING
1 Year Bible Reading Plan:
Mark 14:53-72 &amp; Numbers 29-31

2 Year Bible Reading Plan:
Matthew 22:1-14 &amp; Exodus 20

Rhapsotweets",0.25,0.0,Neutral
"13/15) … As I give myself to prayer and to the ministry of the Word, the will and purposes of God are established in the earth and in the hearts of men, in Jesus’ Name. Amen Rhapsotweets",0.0,0.0,Neutral
"12/15) CONFESSION
I consciously set my thinking on spiritual things, building a deep and firm foundation through consistent study and meditation on the Word of God. I’m tough for the Lord, a gallant soldier in His end-time army!  … Rhapsotweets",0.41944444444444445,-0.05601851851851852,Negative
"11/15) But he that heareth, &amp; doeth not, is like a man that without a foundation built an house upon the earth; against which the stream did beat vehemently, &amp; immediately it fell; and the ruin of that house was great.” Build a solid foundation for your life with the Word of God.",0.425,0.4,Positive
"10/15) He is like a man which built an house, and digged deep, and laid the foundation on a rock: and when the flood arose, the stream beat vehemently upon that house, and could not shake it: for it was founded upon a rock. Rhapsotweets",0.4,0.0,Neutral
"9/15) Recall the words of Jesus in Luke 6:47-49 as He distinguished between the one whose life is founded on the Word of God, and the one whose life isn’t. He said, “Whosoever cometh to me, and heareth my sayings, &amp; doeth them, I will shew you to whom he is like: … Rhapsotweets",0.0,0.0,Neutral
"8/15) Acts 20:32 says, “And now, brethren, I commend you to God, and to the word of his grace, which is able to build you up….” If you’re brought up on the foundation of the Word of God, nothing will move you. Rhapsotweets",0.625,0.5,Positive
"7/15) But you see, if you don’t know this truth, you’d be terrified. This is why we bring you the Word of God every day, to build you up in Christ, to impart knowledge to you. Rhapsotweets",0.0,0.0,Neutral
"6/15) This is a sovereign declaration; it’s unequivocal. You’re superior to anything that hurts or binds; you’re “uninfectable"". Rhapsotweets",0.9,0.7,Positive
"5/15) How could a Christian be afraid of a virus, after Jesus said in Luke 10:19, “Behold, I give unto you power to tread on serpents and scorpions, and over all the power of the enemy: and nothing shall by any means hurt you.” Rhapsotweets",0.45,-0.3,Negative
4/15) The Church isn’t a group of sissies; we’re soldiers. We’re tough for Christ. Rhapsotweets,0.8333333333333334,-0.3888888888888889,Negative
3/15) Some were completely disillusioned and ran into hiding—to “isolate” themselves—while looking to government leaders for help and guidance. They were terrified by the same things that frightened the world; that shouldn’t be. Rhapsotweets,0.2625,0.05,Positive
2/15) A solid foundation of the Word of God is what will determine your reaction &amp; disposition to life and circumstances around you. Think about the happenings in the world in the past months; the reaction &amp; actions of some Christians is proof they never had the right foundation.,0.29523809523809524,0.011904761904761899,Positive
"RHAPSODY OF REALITIES
Thursday, 11TH March, 2021


A SOLID FOUNDATION WITH THE WORD
— Pastor Chris Oyakhilome
Rhapsotweets

A Thread … (1/15) ",0.1,0.0,Neutral
"12/12) We trust you've been blessed by this article. We invite you to make Jesus Christ the Lord of your life TODAY by following the steps in the attached image👇:

Rhapsotweets ",0.1,0.0,Neutral
"11/12) FURTHER STUDY
1 John 4:4; James 4:7; Ephesians 6:10-18

DAILY SCRIPTURE READING
1 Year Bible Reading Plan:
Mark 14:27-52 &amp; Numbers 27-28

2 Year Bible Reading Plan:
Matthew 21:33-46 &amp; Exodus 19

Rhapsotweets",0.25,0.0,Neutral
"10/12) … With the Word of God in my mouth, I triumph gloriously, reigning and prevailing over circumstances. Amen. Rhapsotweets",0.0,0.0,Neutral
"9/12) PRAYER
In the Name of Jesus Christ, I exercise dominion over satan and his cohorts, and I cut down all his machinations, schemes, deceptions and devices against my nation and my city.  … Rhapsotweets",0.2888888888888889,-0.15555555555555559,Negative
"8/12) As long as the Word of God is your arsenal, you’ll always win. The Word of God is the sword of the Spirit with which you cut the devil down. Hallelujah! Rhapsotweets",0.362962962962963,0.1851851851851852,Positive
7/12) satan isn’t a factor. As long as you’re strong in the Lord—keeping His Word in your heart and in your mouth—you’ll discomfit the enemy whenever he shows up. Rhapsotweets,0.5666666666666667,0.19166666666666665,Positive
"6/12) There’s a day of trouble (the evil day); it’s to be anticipated. There’s an enemy out there seeking whom to devour, and when he has the opportunity, he’ll strike. But we’re not ignorant of His devices. Rhapsotweets",0.6,-0.6,Negative
"5/12) The reason many falter when they face challenges is that they don’t act on the Word. In the verses we read in our theme scripture, God instructed us clearly on what to do. What He said in verse thirteen is the reason for verses 10-12. Rhapsotweets",0.44166666666666665,0.3,Positive
"4/12) If you put on the whole armour of God as He has said, you’ll be able to stand against all the stratagems, schemes, maneuvers, and manipulations of the devil. Rhapsotweets",0.5125,0.35,Positive
"3/12) He gives further instructions in the eleventh verse: “Put on the whole armour of God that ye may be able to stand against the wiles of the devil”

This is telling you to prepare, &amp; stay prepared ahead of the evil day. He tells you what to do against the devil. Rhapsotweets",0.63125,-0.07500000000000001,Negative
"2/12) The first part of our opening scripture admonishes that you be strong in the Lord, and in the power of His might. The Lord never tells us to do something we couldn’t do. If He says, “Be strong in the Lord,” it means that’s what you need to do. Rhapsotweets",0.6,0.37222222222222223,Positive
"RHAPSODY OF REALITIES 
Wednesday, 10th March, 2021


BE PREPARED AHEAD OF THE EVIL DAY
— Pastor Chris Oyakhilome
Rhapsotweets

A Thread … (1/12) ",1.0,-1.0,Negative
"13/13) We trust you've been blessed by this article. We invite you to make Jesus Christ the Lord of your life TODAY by following the steps in the attached image👇:

Rhapsotweets",0.1,0.0,Neutral
"12/13) FURTHER STUDY
Romans 6:4-5; 1 Corinthians 1:30; Philippians 3:8-9

DAILY SCRIPTURE READING
1 Year Bible Reading Plan:
Mark 14:1-26 &amp; Numbers 24-26
 
2 Year Bible Reading Plan:
Matthew 21:18-32 &amp; Exodus 18

Rhapsotweets",0.25,0.0,Neutral
"11/13) … and by His resurrection, I stand justified forever, with dominion over satan, circumstances and the cohorts of darkness. Blessed be God! Rhapsotweets",0.9,0.5,Positive
"10/13) CONFESSION
My righteousness is the righteousness of Jesus Christ; therefore, I have boldness in the presence of God, to worship Him in love and holiness of truth. The blood of Jesus gave me access and life, … Rhapsotweets",0.6,0.5,Positive
"9/13) This is the reason you can practise righteousness and produce fruits and works of righteousness, because that’s your nature in Christ Jesus. Hallelujah! Rhapsotweets",0.0,0.0,Neutral
"8/13) 2 Corinthians 5:17 says, “Therefore if any man be in Christ, he is a new creature…”; a new species or kind of man, born in righteousness. Rhapsotweets",0.603030303030303,0.2909090909090909,Positive
"7/13) Your new life started with the resurrection of Jesus Christ: “Therefore we are buried with him by baptism into death: that like as Christ was raised up from the dead by the glory of the Father, even so we also should walk in newness of life” (Romans 6:4). Rhapsotweets",0.42727272727272725,-0.03181818181818183,Negative
"6/13) The You’ve become the effulgence of His righteousness, because He manifests His righteousness through you. He took your place of sin, and gave you His righteousness. Now, He manifests His righteousness through you. This is an amazing reality! Rhapsotweets",0.9,0.7500000000000001,Positive
"5/13) 2 Corinthians 5:21 says, “For he hath made him to be sin for us, who knew no sin; that we might be made the righteousness of God in him.” Rhapsotweets",0.0,0.0,Neutral
4/13) It’s His power that’s made manifest as you walk in His righteousness. That’s our blessing as new creatures in Christ Jesus. Don’t be “performance-conscious” before God. Don’t allow sin &amp; the guilt of your mistakes dissipate your zeal for God and faith in Him. Rhapsotweets,0.45454545454545453,0.13636363636363635,Positive
3/13) We declare and boldly affirm that Christ is our righteousness and walk in the light of His righteousness. It’s like being covered in His glory; you’re not seen. It’s His light that’s seen; it’s His glory that’s seen. Rhapsotweets,0.6888888888888888,0.37777777777777777,Positive
"2/13) Jesus Christ has become your righteousness. That’s why in Christianity, we don’t walk in our righteousness; rather, we stand in His righteousness. Rhapsotweets",0.0,0.0,Neutral
"RHAPSODY OF REALITIES
Tuesday, 9th March, 2021


STAND IN HIS RIGHTEOUSNESS
— Pastor Chris Oyakhilome
Rhapsotweets

A Thread … (1/13) ",0.0,0.0,Neutral
"14/14) We trust you've been blessed by this article. We invite you to make Jesus Christ the Lord of your life TODAY by following the steps in the attached image👇:

Rhapsotweets ",0.1,0.0,Neutral
"13/14)
FURTHER STUDY:
James 1:22-25; Colossians 3:16

DAILY SCRIPTURE READING
1 Year Bible Reading Plan:
Mark 13:1-37 &amp; Numbers 22-23
 
2 Year Bible Reading Plan:
Matthew 21:12-17 &amp; Exodus 17

Rhapsotweets",0.25,0.0,Neutral
"12/14) … I’m blossoming in righteousness, flourishing in glory, producing lasting results and making an undeniable impact with the Gospel, to the praise of your Name. Hallelujah! Rhapsotweets",0.0,0.0,Neutral
"11/14) CONFESSION 
Righteous Father, how I love your Word; your truth is the light by which I see, and the foundation on which my strength is anchored. … Rhapsotweets",0.6499999999999999,0.45,Positive
"10/14) Being born of the Word means you must live in, by and through the Word; you must live it out in your daily walk. Rhapsotweets",0.3333333333333333,0.0909090909090909,Positive
"9/14) The Apostle Peter referenced a similar thought in 1 Peter 1:23, saying, “Being born again, not of corruptible seed, but of incorruptible, by the word of God, which liveth and abideth forever.” Rhapsotweets",0.7000000000000001,-0.033333333333333326,Negative
"8/14) We’re Word-practitioners; Jesus Christ is the Living Word, and we’re born after Him. Paul said, “Ye are the Epistles of Christ” (2 Corinthians 3:3). That means we’re the expression of the Word. Rhapsotweets",0.0,0.0,Neutral
"7/14) Affirm this every day about yourself. Irrespective, and independent of the happenings in the world, be unmoved, because you know you’re empowered to prosper. For you, it’s blessings only. Hallelujah! Rhapsotweets",0.5625,0.0,Neutral
6/14) Psalm 1:3 reveals something phenomenal about the extraordinary life of blessings you have in Christ. It says you’re like a tree planted by the rivers of water—ever luscious and green—fruitful and eternally productive. Rhapsotweets,0.75,0.41666666666666663,Positive
"5/14) Don’t find yourself worrying over the mundane things of life, with fear of lack; rather, by prayer and supplication with thanksgiving, let your requests be made known to God. Rhapsotweets",0.16666666666666666,-0.16666666666666666,Negative
"4/14) When you start out practising something, you may miss it, but don’t give up and say, “Well, I tried.” Keep at it until you gain mastery. Again, the Word says,“...take no thought for your life...” (Luke 12:22); in other words, have no cares. Practise it. Rhapsotweets",0.375,-0.125,Negative
"3/14) For example, the Word says, “...Love your enemies, bless them that curse you, do good to them that hate you, and pray for them which despitefully use you, and persecute you” (Matthew 5:44). Consciously practise this; let it be your daily walk. Rhapsotweets",0.5,-2.0816681711721685e-17,Negative
"2/14) Consciously practising the Word is how you can enjoy its full blessings in your life, because the power of God is in His Word. Rhapsotweets",0.5166666666666667,0.2833333333333333,Positive
"RHAPSODY OF REALITIES
Monday, 8th March 2021


CONSCIOUSLY PRACTISE THE WORD
— Pastor Chris Oyakhilome
Rhapsotweets

A Thread … (1/14) ",0.5,0.1,Positive
"14/14) We trust you've been blessed by this article. We invite you to make Jesus Christ the Lord of your life TODAY by following the steps in the attached image👇:

Rhapsotweets ",0.1,0.0,Neutral
"13/14) FURTHER STUDY
Colossians 4:2; Luke 18:1; Jeremiah 29:7

DAILY SCRIPTURE READING
1 Year Bible Reading Plan:
Mark 12:18-44 &amp; Numbers 20-21 
 
2 Year Bible Reading Plan:
Matthew 21:1-11 &amp; Exodus 16

Rhapsotweets",0.25,0.0,Neutral
